3.3278605133e+00,3.2794051808e+01,3.7454406691e+01
3.4139034663e+00,3.3444690931e+01,3.7141503438e+01
3.3796039059e+00,3.2730367507e+01,3.9454210664e+01
3.2650503007e+00,3.3948647234e+01,3.5708912692e+01
3.2492965680e+00,3.5062636058e+01,3.3328419226e+01
2.8745226889e+00,3.5193940466e+01,4.5973778061e+01
3.2372927189e+00,3.5667673890e+01,3.5319661995e+01
2.8113356027e+00,3.6388856398e+01,3.8627922652e+01
2.6976862640e+00,3.5838442128e+01,4.0073953457e+01
3.4489679654e+00,3.7438556549e+01,4.0120935655e+01
2.9311380232e+00,3.8365532286e+01,3.1625097300e+01
3.3062946551e+00,3.8397279525e+01,4.5726549971e+01
3.0829685375e+00,3.8158303729e+01,4.6929947109e+01
2.7171079914e+00,3.9148305339e+01,3.4408361641e+01
2.9734099379e+00,3.9384624838e+01,3.9009692352e+01
3.1623369503e+00,3.8976608920e+01,4.4179388213e+01
2.9916216948e+00,4.0307696600e+01,3.2932737160e+01
3.3303543515e+00,3.9746787917e+01,3.3352553303e+01
3.4023843458e+00,4.0418285102e+01,3.9948496960e+01
3.2903986660e+00,3.9915412744e+01,4.0067669653e+01
3.0855650843e+00,4.0328668504e+01,4.2310385596e+01
2.9119382163e+00,4.0972337106e+01,4.6223394026e+01
2.8147910126e+00,4.1533555028e+01,3.4170129219e+01
3.0489182212e+00,4.1523866591e+01,4.2036788051e+01
2.8379046216e+00,4.2339709945e+01,4.2117122281e+01
3.4035966304e+00,4.2080047822e+01,4.5146446812e+01
3.1142155932e+00,4.1897304272e+01,4.9476494797e+01
3.0791194552e+00,4.1995244127e+01,5.0826877406e+01
3.4050600182e+00,4.2913524482e+01,3.7538021835e+01
2.9757083314e+00,4.3275417016e+01,4.5330539854e+01
2.9323084880e+00,4.2756132374e+01,4.6368312108e+01
3.1002508817e+00,4.3077685103e+01,4.7470680919e+01
3.1274951151e+00,4.3704318708e+01,3.5399681917e+01
3.3318467258e+00,4.4339900878e+01,3.7190213250e+01
2.9835938684e+00,4.4174036549e+01,4.2026812477e+01
2.8602508686e+00,4.3565032284e+01,4.6672574193e+01
3.1971101555e+00,4.3783088150e+01,5.0569010015e+01
3.2388748463e+00,4.4896616881e+01,3.9517127764e+01
3.1346976830e+00,4.4811165075e+01,4.0298422417e+01
3.2078241142e+00,4.5150147550e+01,4.4768374794e+01
2.9166098808e+00,4.6283886538e+01,4.4107182078e+01
3.2102093158e+00,4.6357192693e+01,4.7017910093e+01
3.1515249747e+00,4.6151218809e+01,4.9262328522e+01
3.0723543044e+00,4.7017607130e+01,3.6163835579e+01
3.2594022455e+00,4.6972471715e+01,4.0235097537e+01
3.3429633580e+00,4.8401722416e+01,3.5894131380e+01
2.6422814742e+00,4.7514146603e+01,3.6444083204e+01
3.1095354853e+00,4.8342307563e+01,4.0074207594e+01
